Top 5 Parameter Sets by Total PnL:

LONG: z=-0.5, window=10, ema_fast=24, ema_slow=70, tp=0.05, max_hold=60, PnL=1104.58, Trades=176, WinRate=57.95%
  Entry: 2024-05-23 12:00:00-04:00 @ 453.65 | Exit (EMA): 2024-05-31 08:00:00-04:00 @ 444.50 | Profit: -9.15
  Entry: 2024-05-23 16:00:00-04:00 @ 453.75 | Exit (EMA): 2024-05-31 08:00:00-04:00 @ 444.50 | Profit: -9.25
  Entry: 2024-05-29 16:00:00-04:00 @ 454.41 | Exit (EMA): 2024-05-31 08:00:00-04:00 @ 444.50 | Profit: -9.91
  Entry: 2024-05-30 04:00:00-04:00 @ 455.04 | Exit (EMA): 2024-05-31 08:00:00-04:00 @ 444.50 | Profit: -10.54
  Entry: 2024-05-30 08:00:00-04:00 @ 453.16 | Exit (EMA): 2024-05-31 08:00:00-04:00 @ 444.50 | Profit: -8.66
  Entry: 2024-05-30 12:00:00-04:00 @ 451.55 | Exit (EMA): 2024-05-31 08:00:00-04:00 @ 444.50 | Profit: -7.05
  Entry: 2024-05-30 16:00:00-04:00 @ 450.39 | Exit (EMA): 2024-05-31 08:00:00-04:00 @ 444.50 | Profit: -5.89
  Entry: 2024-05-31 04:00:00-04:00 @ 450.56 | Exit (EMA): 2024-05-31 08:00:00-04:00 @ 444.50 | Profit: -6.06
  Entry: 2024-06-24 08:00:00-04:00 @ 478.07 | Exit (TP): 2024-07-10 12:00:00-04:00 @ 502.99 | Profit: 24.92
  Entry: 2024-06-24 12:00:00-04:00 @ 473.97 | Exit (TP): 2024-07-08 16:00:00-04:00 @ 499.09 | Profit: 25.12
  Entry: 2024-06-24 16:00:00-04:00 @ 474.56 | Exit (TP): 2024-07-08 16:00:00-04:00 @ 499.09 | Profit: 24.53
  Entry: 2024-06-25 04:00:00-04:00 @ 475.82 | Exit (TP): 2024-07-10 08:00:00-04:00 @ 499.94 | Profit: 24.12
  Entry: 2024-06-28 12:00:00-04:00 @ 478.99 | Exit (TP): 2024-07-10 12:00:00-04:00 @ 502.99 | Profit: 24.00
  Entry: 2024-07-02 04:00:00-04:00 @ 479.22 | Exit (EMA): 2024-07-19 12:00:00-04:00 @ 475.24 | Profit: -3.98
  Entry: 2024-07-11 08:00:00-04:00 @ 493.13 | Exit (EMA): 2024-07-19 12:00:00-04:00 @ 475.24 | Profit: -17.89
  Entry: 2024-07-11 12:00:00-04:00 @ 491.90 | Exit (EMA): 2024-07-19 12:00:00-04:00 @ 475.24 | Profit: -16.66
  Entry: 2024-07-11 16:00:00-04:00 @ 491.54 | Exit (EMA): 2024-07-19 12:00:00-04:00 @ 475.24 | Profit: -16.30
  Entry: 2024-07-17 04:00:00-04:00 @ 488.93 | Exit (EMA): 2024-07-19 12:00:00-04:00 @ 475.24 | Profit: -13.69
  Entry: 2024-07-17 08:00:00-04:00 @ 484.09 | Exit (EMA): 2024-07-19 12:00:00-04:00 @ 475.24 | Profit: -8.85
