,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,3.62,3.68,3.61,3.62,17830101.0,3.64914,8400
1,2025-04-14 12:00:00-04:00,3.6299,3.7,3.615,3.665,19042808.0,3.65629,11030
2,2025-04-15 09:30:00-04:00,3.74,3.79,3.73,3.769,14240562.0,3.76733,6004
3,2025-04-15 12:00:00-04:00,3.765,3.795,3.76,3.765,16073152.0,3.77649,8873
4,2025-04-16 09:30:00-04:00,3.76,3.79,3.75,3.76,12406433.0,3.76682,5088
5,2025-04-16 12:00:00-04:00,3.765,3.79,3.7145,3.745,18949676.0,3.75199,9287
6,2025-04-17 09:30:00-04:00,3.74,3.79,3.74,3.76,8882344.0,3.7702,3380
7,2025-04-17 12:00:00-04:00,3.755,3.8,3.75,3.76,15583232.0,3.77838,7313
8,2025-04-21 09:30:00-04:00,3.76,3.82,3.71,3.715,5550107.0,3.74294,2565
9,2025-04-21 12:00:00-04:00,3.715,3.75,3.69,3.725,11182623.0,3.72028,6639
10,2025-04-22 09:30:00-04:00,3.82,3.87,3.82,3.855,13114743.0,3.84681,5609
11,2025-04-22 12:00:00-04:00,3.8547,3.88,3.82,3.867,13905604.0,3.85717,7508
12,2025-04-23 09:30:00-04:00,3.92,3.96,3.91,3.9303,20222929.0,3.93063,8524
13,2025-04-23 12:00:00-04:00,3.93,3.95,3.9,3.915,16792188.0,3.92332,8884
14,2025-04-24 09:30:00-04:00,3.89,3.93,3.89,3.9101,6970833.0,3.91173,3206
15,2025-04-24 12:00:00-04:00,3.915,3.93,3.89,3.905,12221013.0,3.90989,7662
16,2025-04-25 09:30:00-04:00,3.91,3.94,3.91,3.93,8155022.0,3.92453,3824
17,2025-04-25 12:00:00-04:00,3.935,3.95,3.91,3.95,5463260.0,3.93201,4515
18,2025-04-28 09:30:00-04:00,3.95,4.0,3.94,3.9599,11332277.0,3.96883,6326
19,2025-04-28 12:00:00-04:00,3.95,3.97,3.94,3.965,11514704.0,3.95333,7879
20,2025-04-29 09:30:00-04:00,3.99,4.0,3.95,3.96,14637045.0,3.96856,6299
21,2025-04-29 12:00:00-04:00,3.965,3.99,3.96,3.98,6018626.0,3.97825,4900
22,2025-04-30 09:30:00-04:00,3.87,3.96,3.87,3.935,21193945.0,3.91957,8429
23,2025-04-30 12:00:00-04:00,3.935,3.95,3.91,3.945,19751731.0,3.93187,11303
24,2025-05-01 09:30:00-04:00,3.84,3.88,3.765,3.775,17575287.0,3.84433,7096
25,2025-05-01 12:00:00-04:00,3.78,3.81,3.76,3.765,15554710.0,3.78572,10829
26,2025-05-02 09:30:00-04:00,3.81,3.82,3.76,3.7669,14738200.0,3.79232,9104
27,2025-05-02 12:00:00-04:00,3.765,3.78,3.745,3.755,17157154.0,3.76392,12989
28,2025-05-05 09:30:00-04:00,3.76,3.83,3.745,3.825,10169047.0,3.80483,5750
29,2025-05-05 12:00:00-04:00,3.825,3.83,3.79,3.795,10461417.0,3.81104,7324
30,2025-05-06 09:30:00-04:00,3.83,3.87,3.83,3.85,9884562.0,3.85336,4117
31,2025-05-06 12:00:00-04:00,3.85,3.86,3.84,3.845,15278209.0,3.84993,9027
32,2025-05-07 09:30:00-04:00,3.86,3.92,3.86,3.9,12576659.0,3.88998,5971
33,2025-05-07 12:00:00-04:00,3.895,3.91,3.86,3.875,17025629.0,3.88465,10111
34,2025-05-08 09:30:00-04:00,3.91,3.92,3.87,3.9,10634293.0,3.89495,4360
35,2025-05-08 12:00:00-04:00,3.9,3.91,3.86,3.865,9544052.0,3.88587,5552
36,2025-05-09 09:30:00-04:00,3.9,3.91,3.87,3.88,21218685.0,3.88907,9205
37,2025-05-09 12:00:00-04:00,3.88,3.89,3.86,3.88,19279853.0,3.87742,12169
38,2025-05-12 09:30:00-04:00,3.89,3.91,3.82,3.825,22155599.0,3.85424,15749
39,2025-05-12 12:00:00-04:00,3.825,3.84,3.805,3.815,23370803.0,3.82343,15475
40,2025-05-13 09:30:00-04:00,3.87,3.91,3.87,3.9066,13302473.0,3.88773,5797
41,2025-05-13 12:00:00-04:00,3.91,3.92,3.89,3.905,14819923.0,3.90418,7194
42,2025-05-14 09:30:00-04:00,3.95,4.0,3.95,3.965,12458558.0,3.97156,5368
43,2025-05-14 12:00:00-04:00,3.965,4.0,3.96,3.99,14239461.0,3.9807,6974
44,2025-05-15 09:30:00-04:00,3.97,4.0,3.95,3.99,12368369.0,3.97517,4458
45,2025-05-15 12:00:00-04:00,3.99,4.0,3.97,3.975,11892919.0,3.98668,8464
46,2025-05-16 09:30:00-04:00,3.99,4.0,3.98,3.995,10022953.0,3.9918,6287
47,2025-05-16 12:00:00-04:00,3.995,4.01,3.98,4.005,12460961.0,3.99448,5323
48,2025-05-19 09:30:00-04:00,4.02,4.11,4.02,4.095,22423409.0,4.07776,7749
49,2025-05-19 12:00:00-04:00,4.095,4.11,4.07,4.105,18190896.0,4.09248,9433
50,2025-05-20 09:30:00-04:00,4.16,4.2,4.16,4.195,12339638.0,4.1817,5577
51,2025-05-20 12:00:00-04:00,4.195,4.22,4.19,4.2012,5388602.0,4.20402,3905
52,2025-05-21 09:30:00-04:00,4.24,4.26,4.22,4.235,14864997.0,4.23634,7542
53,2025-05-21 12:00:00-04:00,4.235,4.24,4.18,4.195,19837773.0,4.20763,11375
54,2025-05-22 09:30:00-04:00,4.19,4.26,4.18,4.245,13379379.0,4.22766,5117
55,2025-05-22 12:00:00-04:00,4.245,4.28,4.23,4.25,17566219.0,4.24942,8224
56,2025-05-23 09:30:00-04:00,4.19,4.25,4.17,4.225,15354417.0,4.21701,9218
57,2025-05-23 12:00:00-04:00,4.225,4.27,4.22,4.265,9852708.0,4.25059,6718
58,2025-05-27 09:30:00-04:00,4.28,4.3,4.27,4.285,9607418.0,4.28099,3990
59,2025-05-27 12:00:00-04:00,4.285,4.3,4.27,4.27,6751795.0,4.28335,5217
60,2025-05-28 09:30:00-04:00,4.21,4.22,4.15,4.16,9234042.0,4.19311,4765
61,2025-05-28 12:00:00-04:00,4.165,4.19,4.16,4.18,7802551.0,4.17679,5704
62,2025-05-29 09:30:00-04:00,4.22,4.22,4.18,4.19,7676865.0,4.20144,3291
63,2025-05-29 12:00:00-04:00,4.185,4.22,4.18,4.21,9491377.0,4.20755,6419
64,2025-05-30 09:30:00-04:00,4.22,4.23,4.19,4.21,8378647.0,4.20881,4228
65,2025-05-30 12:00:00-04:00,4.21,4.22,4.18,4.205,8020217.0,4.20796,7480
66,2025-06-02 09:30:00-04:00,4.22,4.26,4.1908,4.2421,11322057.0,4.22947,4493
67,2025-06-02 12:00:00-04:00,4.245,4.28,4.24,4.265,10658845.0,4.25772,7557
68,2025-06-03 09:30:00-04:00,4.19,4.24,4.17,4.215,9636319.0,4.20449,4518
69,2025-06-03 12:00:00-04:00,4.215,4.22,4.19,4.2,4153938.0,4.21042,6995
70,2025-06-04 09:30:00-04:00,4.21,4.24,4.2,4.21,10203170.0,4.21476,4204
